identifier,name,surname,first_name,birthdate,nationality,language
20-73/94,Glinda,James,Guillermo,1981-07-02,Australian,Burmese
65-30/71,Inocencia,Morton,Micah,2003-02-21,Belgian,Fijian
89-49/09,Wendell,Best,Aleisha,1991-10-16,Salvadorian,Tswana
52-56/94,Dwayne,Diaz,Carmina,1996-11-27,Ecuadorian,Gujarati
13-91/24,Trinidad,Waters,Tennille,2018-11-07,Australian,Indonesian
85-33/72,Berneice,Andrews,Nathaniel,2001-07-09,English,Kyrgyz
87-43/69,Hassan,Bolton,Zachary,1997-06-25,Bolivian,Italian
73-95/19,Talisha,Massey,Lucio,1994-08-06,Dominican,Greek
91-98/05,Cleo,Houston,Shantae,1996-09-19,Belgian,Belarusian
92-82/70,Kayleen,Perkins,Lavonia,2017-03-07,French,Tetum
59-29/62,Clarence,Lucas,Sung,2005-02-18,Irish,Kurdish
56-03/27,Ayanna,Andrews,Shona,1984-05-02,Venezuelan,Albanian
93-58/00,Love,Velez,Tanna,1987-03-15,Taiwanese,Mongolian
45-91/53,Lindsay,Irwin,Lyle,1997-09-28,Cambodian,Gujarati
21-56/91,Dwain,Lamb,Margit,2019-03-22,Portuguese,Danish
01-97/95,Michel,Fletcher,Caroyln,2022-02-17,Israeli,Afrikaans
48-85/09,Buford,Bullock,Dia,1985-07-03,Swedish,Kashmiri
68-98/65,Ramiro,Dawson,Morris,1992-11-20,German,English
21-84/69,Maisie,Stuart,Hyun,2005-11-12,German,Tamil
88-66/36,Elenora,Ayala,Ehtel,2010-05-24,Taiwanese,Bislama
29-92/70,Arlette,Barnes,Mercedez,2016-08-11,French,Amharic
11-15/59,Bee,Sosa,Whitney,1999-02-16,French,Maltese
62-53/56,Gerardo,Bass,Johnsie,1990-01-12,Cameroonian,Māori
78-52/85,Tamekia,Gilbert,Julio,1983-02-10,Swedish,Telugu
46-38/60,Melida,Barnett,Milagro,1990-07-05,Taiwanese,Dhivehi
03-12/41,Freddie,Phillips,Deon,2016-08-25,French,Amharic
05-25/34,Marketta,Schroeder,Darlena,1998-10-15,Dominican,Burmese
45-25/31,Garret,Walton,Jong,1999-07-26,Costa Rican,Montenegrin
36-63/58,Sherwood,Glass,Lewis,2015-09-08,Ethiopian,Tswana
24-65/91,Ailene,Christian,Arlie,2011-03-07,Spanish,Croatian
48-99/52,Joel,Johnson,Modesto,1998-09-20,French,Estonian
24-37/04,Rusty,Shaffer,Vi,1988-09-18,Puerto Rican,Somali
54-22/57,Blossom,Brady,Pa,2020-06-09,Afghan,Aymara
81-08/51,Asa,Cash,Dexter,2004-08-24,Brazilian,Afrikaans
87-43/15,Vena,Wilkins,Glayds,1998-11-28,Greek,Haitian Creole
23-02/17,Tamala,Landry,Jan,1989-03-09,Saudi,Lao
17-34/87,Lady,Mendoza,Mikki,2001-01-14,Latvian,West Frisian
64-51/06,Marvis,Cochran,Shay,2016-12-16,Uruguayan,Dhivehi
01-59/69,Omar,Glenn,Rigoberto,2016-10-07,Italian,Chinese
26-99/31,Miquel,Mann,Jacques,2004-11-12,Dominican,Kyrgyz
38-81/06,Gaynelle,Myers,Kacie,2000-05-29,Italian,Czech
13-72/17,Kacy,Coffey,Nicolasa,2013-11-04,Ecuadorian,Moldovan
49-06/40,Jeannetta,Thomas,Brittny,1982-02-06,Iranian,Nepali
57-13/20,Doug,Lee,Joana,1997-08-09,Jordanian,Romanian
89-95/23,Carlena,Howard,Jacques,2017-05-30,Taiwanese,Japanese
19-56/61,Rashad,Noble,Alvaro,2012-05-21,Latvian,Pashto
58-09/61,Torie,Wiggins,Tinisha,1989-03-07,Venezuelan,Arabic
23-24/38,Mario,Nixon,Victorina,1980-03-16,Swedish,Korean
75-64/47,Karly,Estes,Jaquelyn,1997-11-04,Salvadorian,Malayalam
22-80/55,Carl,Barron,Lawrence,1983-02-04,Swedish,Pashto
37-46/08,Jacqui,Kennedy,Jeffery,1998-11-17,Swiss,Norwegian
00-77/10,Dorsey,Hernandez,Sari,1991-12-13,Costa Rican,Oriya
29-42/08,Maple,Bond,Archie,1982-09-04,Israeli,Japanese
90-52/45,Clark,Cross,Sam,1995-03-22,Taiwanese,Kazakh
76-93/69,Genaro,Melendez,Rickie,1986-07-22,French,German
00-16/17,Man,Lambert,Marisha,2008-11-12,Costa Rican,Estonian
76-55/11,Elliott,Jones,Tomi,1981-01-02,Mexican,Kashmiri
73-94/53,Latoyia,Bruce,Layne,2023-02-23,Mexican,Bengali
11-13/64,Modesto,Mckee,Shavon,1996-04-09,Israeli,Somali
62-87/09,Charlena,Strong,Davis,1988-12-29,Italian,Croatian
79-43/57,Isaias,Robertson,Son,2002-12-05,Danish,Lao
37-82/13,Mariella,Hester,Sam,1997-08-13,British,German
62-41/50,Remedios,Workman,John,1994-03-23,Dutch,Azeri
25-05/81,Marlon,Todd,Elmo,1994-04-22,Chinese,Bulgarian
05-58/13,Lucius,Mathews,Reginald,2015-08-13,Salvadorian,Swahili
01-53/38,Millard,Howard,Wes,2023-05-28,Guatemalan,Oriya
25-84/44,Lane,Patrick,Daron,2016-06-24,Danish,Dzongkha
32-97/27,Jerry,Boyle,Freddy,1986-08-28,Danish,Thai
64-92/09,Somer,Long,Hyun,1981-12-13,Chilean,Danish
43-20/16,Johanne,Scott,Dwight,2009-09-06,German,Swedish
92-99/55,Anastacia,Benjamin,Beckie,1983-12-22,Irish,Polish
17-69/79,Odis,York,Lauryn,2014-08-08,Australian,Moldovan
38-88/04,Renay,Gardner,Lanell,1982-10-22,Belgian,Aymara
57-06/62,Lawanna,Vazquez,Kallie,1987-02-09,Dutch,Afrikaans
93-69/28,Lenna,Jarvis,Malcolm,2000-08-07,French,Tetum
79-74/83,Jamison,Bowen,Robbi,1983-06-02,Irish,Bulgarian
10-64/40,Sherill,Deleon,Chi,2004-11-09,Brazilian,French
80-28/71,Miss,Alexander,Ashanti,2004-04-18,Finnish,English
51-64/57,Clark,Williams,Reginald,2019-04-22,Colombian,Bislama
63-34/79,Seema,Estes,Spring,2023-04-25,French,Catalan
20-95/41,Wade,Best,Lloyd,1986-07-26,French,Filipino
35-10/12,Samuel,Small,Tamica,2016-01-11,Belgian,Punjabi
83-28/18,Lon,Hunt,Randa,2015-06-03,Australian,Haitian Creole
12-61/30,Blair,Mcgee,Guy,2021-11-25,German,Croatian
90-92/11,Robt,Bowman,Tasia,1996-03-04,Puerto Rican,Tajik
66-06/44,Anya,Rose,Clarinda,2011-10-01,Cambodian,Oriya
97-07/67,Maple,Fry,Tonie,1990-06-11,Russian,English
97-07/58,Ozell,Randolph,Erasmo,2013-04-07,Jordanian,Swedish
79-49/31,Skye,Foreman,Louis,2014-01-09,Dutch,German
83-17/00,Brenton,Paul,Allegra,1989-01-25,Italian,Montenegrin
54-67/17,Kimber,Ferrell,Royce,2022-08-16,Greek,Norwegian
52-98/60,Caleb,Summers,Arlie,1982-07-31,French,Azeri
02-39/98,Concha,Cabrera,Markus,1997-08-22,Portuguese,Nepali
04-01/47,Alfonzo,Conrad,Jake,1999-01-28,Portuguese,Gujarati
01-06/35,Yajaira,Perez,Kasey,2004-12-08,Salvadorian,Northern Sotho
02-90/52,Chang,Walls,Hoyt,2023-04-02,Australian,Tsonga
38-65/25,Brant,Myers,Raelene,2001-01-29,Swiss,Albanian
60-76/90,Kerry,England,Rudy,2004-04-02,Dominican,Hebrew
97-30/14,Queenie,Blevins,Sha,2017-12-24,Ukrainian,Zulu
84-99/43,Scottie,Bowen,Laverne,2015-10-27,Ethiopian,Tok Pisin
32-33/08,Lee,Lambert,Ernest,2008-12-21,Israeli,Luxembourgish
21-86/36,Hermine,Dickerson,Jordon,2022-09-08,Jordanian,Gagauz
69-64/21,Nicholas,Aguilar,Willia,2020-10-09,Swedish,Polish
50-64/20,Bulah,Lane,Gene,2006-11-15,Afghan,Dhivehi
99-39/21,Shaniqua,Silva,Yoko,1994-01-06,Danish,Lithuanian
10-21/42,Madelaine,Baird,Gabriel,2017-02-05,Israeli,Mongolian
62-97/22,Garth,Singleton,Walker,2009-05-07,Polish,Thai
67-05/43,Elinore,Nunez,Irwin,2015-07-04,Canadian,Catalan
42-65/43,Zane,Good,Jerrell,2012-08-12,British,Malagasy
77-62/91,Fredric,Ortega,Alease,1993-06-24,Israeli,Albanian
23-09/44,Micheline,Francis,Lindsay,1983-09-13,Guatemalan,Malagasy
46-02/07,Burton,Good,Eleni,2020-12-14,Taiwanese,Danish
52-55/19,Tad,Tucker,Keitha,1992-03-18,Mexican,German
54-79/45,Anthony,Sweet,Romeo,1992-10-22,Canadian,Romanian
84-76/26,Tristan,Spencer,Karmen,2017-05-24,Japanese,Czech
94-92/75,Cruz,Blankenship,Rolando,1990-12-24,British,Dari
82-79/08,Blake,Sims,Eilene,2010-01-10,Chinese,Persian
46-71/43,Selene,Boyd,Burton,2009-03-04,Cambodian,Guaraní
65-78/44,Halina,Bright,Cristen,1984-10-27,Jordanian,Zulu
12-84/89,Sherril,Mcclain,Alexander,1984-06-27,Saudi,Belarusian
86-77/09,Honey,Johnston,Niesha,2017-02-05,Venezuelan,Swati
28-26/12,Stephane,Wells,Zane,2019-11-27,Guatemalan,Czech
09-97/17,Dean,Skinner,Erick,2020-01-08,Cuban,Fijian
66-63/57,Rene,Carr,Nathan,2007-10-26,Polish,Albanian
67-12/71,Flo,Jordan,Vernetta,2007-08-11,Cameroonian,Yiddish
87-99/09,Danial,Hull,Verdie,2018-07-16,Israeli,Haitian Creole
74-05/43,Jeffie,Wilder,Philip,2016-10-19,Irish,Haitian Creole
65-83/10,Isa,Compton,Alayna,1982-11-25,Chilean,Papiamento
95-06/94,Delora,Harding,Roberto,1987-10-18,Russian,Māori
63-81/08,Jesse,Davis,Willette,2014-06-03,Australian,Afrikaans
16-02/86,Regine,Wallace,Chin,1992-06-04,Cameroonian,Albanian
12-08/74,Marya,Massey,Tyesha,2019-04-19,Israeli,Tswana
57-74/96,Jesusita,Barber,Mila,2006-09-05,Italian,Lithuanian
79-66/19,Nu,Mosley,Celena,2004-05-13,Portuguese,Maltese
67-35/72,Malcolm,Gaines,Shannon,1997-05-08,Ethiopian,Albanian
05-02/02,Toi,Combs,Cecil,1987-06-24,Puerto Rican,Hebrew
24-09/44,Maren,Washington,Julio,2008-08-13,Ukrainian,Guaraní
34-28/40,Jackqueline,Cruz,Yasmine,2003-03-20,Ecuadorian,Tajik
33-52/80,Julius,Sherman,Huey,1980-05-16,Dominican,Portuguese
33-25/22,Joeann,Rojas,Sulema,2009-05-08,Jordanian,Albanian
46-96/63,Michael,Cantu,Dave,2012-01-21,Swedish,Kyrgyz
55-92/81,Catheryn,Castillo,Ashley,1983-04-22,Brazilian,Macedonian
48-21/29,Karren,Hammond,Dwana,2012-07-09,Estonian,Kyrgyz
87-40/64,Lang,England,Madalyn,2000-03-26,German,Russian
71-92/65,Treasa,Welch,Gilbert,2004-05-04,Canadian,Dhivehi
40-35/82,Elias,Dejesus,Lorilee,2009-02-18,Ethiopian,Dutch
16-15/83,Richie,Guzman,Gwenda,1994-08-03,Colombian,Arabic
95-76/65,Jerrell,Fitzgerald,Caprice,2007-12-02,Cambodian,Moldovan
43-39/21,Lamont,Hogan,Micah,2004-01-24,Australian,Oriya
55-00/93,Emory,Frye,Lorean,1999-12-08,English,Burmese
62-28/06,Karma,Dunn,Saul,2014-03-16,Chilean,Kannada
02-08/67,Adelle,Thompson,Thanh,2016-01-20,Colombian,Afrikaans
57-25/79,Alita,Hahn,Katelin,2017-04-11,Irish,Gagauz
78-28/47,Erin,Leon,Elvis,1992-07-31,Chilean,Bislama
39-15/49,Mauricio,Bates,Lahoma,2002-04-25,Latvian,Swati
99-37/47,Antoine,Jarvis,Alonzo,1994-04-17,Cuban,Khmer
29-81/32,Lilla,Calhoun,Lanell,2011-08-14,Latvian,Finnish
87-59/51,Dirk,Blake,Sharmaine,1985-10-14,German,Mongolian
66-80/70,Cherish,David,Madie,2013-04-13,Mexican,Burmese
35-79/21,Laurice,Burch,Sachiko,1984-10-16,Dominican,German
14-10/87,Piper,Cameron,Armando,1988-12-05,Cuban,Russian
15-63/63,Morton,Warner,Newton,2011-04-24,Polish,Bengali
39-82/44,Jonathon,Booth,Nolan,1984-06-03,Swiss,Fijian
05-97/59,Deloras,Barry,Cassondra,1987-12-09,Cameroonian,Norwegian
96-07/44,Stephania,Stevenson,Sherill,1980-08-10,Polish,Korean
59-92/75,Deon,Workman,Carey,2020-01-10,Taiwanese,Polish
98-84/63,Genevie,Nunez,Eusebio,2019-02-03,Mexican,French
79-24/04,Darron,Hoover,Erasmo,1984-11-13,Estonian,Albanian
23-45/82,Lynetta,Bush,Ray,1992-04-03,Ecuadorian,Thai
49-90/80,Ramonita,Sandoval,Thaddeus,1999-06-20,Finnish,Afrikaans
41-17/19,Bethann,Shepherd,Derek,2012-03-31,Costa Rican,Tok Pisin
32-79/78,January,Medina,Eugenio,1989-07-28,Cameroonian,Belarusian
72-27/95,Ute,Buck,Kellee,2013-09-23,Italian,Tsonga
74-10/89,Monty,Mcgee,Rodolfo,1996-03-12,Mexican,Kazakh
75-80/30,Gracia,Whitley,Rick,1990-07-17,Iranian,Sotho
71-06/89,Kimiko,Fernandez,Leonardo,2007-11-22,Danish,Malayalam
31-55/16,Marget,Avery,Weldon,2003-08-24,Canadian,Gujarati
22-70/40,Stanton,Kim,Arnette,1997-05-02,Chilean,Assamese
28-16/39,Estell,Kerr,Ernie,1998-11-01,Belgian,Hungarian
82-85/52,Reanna,Espinoza,Rozella,2001-09-01,Japanese,Zulu
56-77/51,Euna,Townsend,Fabian,2010-02-24,Portuguese,Dari
50-20/99,Parthenia,Kinney,Troy,1992-06-10,Ecuadorian,Afrikaans
60-80/75,Sid,Ray,Russell,1986-10-27,Saudi,German
02-67/72,Shae,Manning,Cira,2023-02-01,Uruguayan,Thai
70-46/80,Luciano,Kim,Merrill,2000-04-20,Iranian,French
30-63/84,Michel,Rose,Barbera,2008-12-08,Cambodian,Pashto
41-31/60,Lilla,Gay,Lou,2011-02-04,Swiss,Yiddish
88-13/75,Jaymie,Woods,Yuriko,2003-04-30,Australian,German
13-13/48,Charlie,Dickson,Jerrold,2010-12-17,Venezuelan,Persian
93-65/15,Dominick,Salinas,Rickie,1982-09-17,Italian,Moldovan
49-34/97,Jules,Cruz,Ranee,2012-02-21,French,Fijian
93-86/86,Donny,Jordan,Ashlea,1996-02-20,Jordanian,Malay
74-99/84,Jarvis,Potter,Domenic,1995-02-07,Mexican,Danish
41-99/43,Zetta,Gentry,Solange,1984-12-08,Ethiopian,Estonian
53-21/98,Rosette,Wolf,Jona,2011-08-14,Irish,Kyrgyz
36-07/55,Monroe,Alston,Dorie,2003-05-13,Cameroonian,Arabic
13-27/16,Sherley,Leonard,Lasonya,2002-06-10,German,Hungarian
54-30/41,Sharri,Bruce,Daron,1984-01-26,Dominican,Kyrgyz
47-52/67,Thanh,Mills,Chas,2003-09-28,Dutch,Armenian
20-31/89,Miquel,Vang,Derick,1985-09-27,German,Haitian Creole
37-99/10,Muoi,Norton,Gonzalo,2000-06-07,Taiwanese,Amharic
31-24/04,Emeline,Camacho,Daine,1998-03-02,Argentinian,Swahili
77-82/31,Marilou,Hill,Regena,2014-04-05,Dominican,Tajik
48-90/01,Ricky,Webster,Neoma,2013-07-13,Jordanian,Dzongkha
53-81/98,Joan,Pennington,Ardelle,1982-03-27,Colombian,Icelandic
61-58/37,Jorge,Mcdaniel,Elmo,2001-10-14,Iranian,Swedish
13-59/58,Abe,Whitfield,Josiah,1997-02-09,Swiss,Macedonian
02-66/71,Hae,Hahn,Zackary,1982-05-20,Jordanian,Dutch
38-17/86,Adah,Mccall,Tereasa,1992-03-22,Cameroonian,Polish
19-74/52,Albert,Pittman,Danille,2006-11-01,Costa Rican,Fijian
02-90/52,Ema,Murray,Kyoko,2001-07-26,Estonian,Russian
20-73/08,Jayson,Mathews,Leopoldo,1986-02-10,Egyptian,Burmese
91-61/03,Jacquetta,Henson,Refugio,2023-07-10,Mexican,Hiri Motu
23-99/51,Antone,Garner,Coy,2014-05-05,Estonian,Assamese
08-06/22,Kasha,Logan,Sammie,2023-07-23,Afghan,Bosnian
72-65/45,Julienne,Craft,Reed,2010-12-15,Brazilian,Arabic
02-69/55,Lonnie,Schroeder,Jospeh,1984-12-19,Puerto Rican,Tamil
14-78/98,Gilma,Rose,Tatyana,1990-08-21,Irish,Malay
58-91/87,Zada,Mason,Eldridge,1991-04-08,Ukrainian,Tamil
22-76/95,Maryanna,Mathis,Kiley,2001-08-14,Ethiopian,Macedonian
41-16/52,Elza,Jackson,Normand,1996-05-25,Finnish,Spanish
47-47/07,Audie,Merrill,Tashina,2002-06-28,Ukrainian,Tajik
20-29/13,Josiah,Frost,Leopoldo,2012-08-03,English,Tswana
49-29/39,Gilberto,Forbes,Willard,2008-08-03,Romanian,Tswana
09-81/22,Dave,Orr,Lucius,2013-05-09,Uruguayan,Icelandic
76-22/82,Charlsie,Carrillo,Eryn,1982-01-02,Saudi,Croatian
26-61/87,Jame,Jacobs,Isaias,1985-03-18,Jordanian,Zulu
46-03/80,Caprice,Mcgowan,Philip,2010-11-14,British,Tswana
05-08/90,Vance,Valentine,Branden,1994-02-07,Uruguayan,Haitian Creole
99-66/73,Mike,Becker,Bobette,2005-06-25,Swiss,Persian
07-99/23,Roger,Cervantes,Claretha,1982-03-30,Afghan,Spanish
43-95/85,Nicolle,Pennington,Manual,1997-06-19,Guatemalan,Burmese
42-94/95,Reid,Owens,Karlyn,1982-12-16,German,German
86-75/92,Toney,Chapman,Wilford,2016-09-05,Finnish,Bulgarian
08-69/73,Lorrine,Fernandez,Marinda,2016-06-01,Japanese,Haitian Creole
98-62/27,Cecila,Rivers,Ignacio,2012-04-29,Danish,Greek
99-40/15,Max,Solis,Sol,1990-12-10,Colombian,Kurdish
02-79/51,Oren,Koch,Shanita,2015-07-09,Romanian,Luxembourgish
46-58/26,Anjelica,Lane,Eugenie,2016-11-03,Cambodian,Maltese
07-58/52,Luigi,Beard,Fredric,1984-12-03,Greek,Northern Sotho
27-56/09,Bruce,Singleton,Chas,1999-08-03,Latvian,Albanian
91-92/70,Wyatt,Randolph,Vanetta,2022-05-18,Bolivian,Ndebele
00-77/96,Julienne,Owens,Angele,1990-09-29,Chilean,Arabic
39-84/18,Millard,Vega,China,1986-03-08,Mexican,Tajik
10-54/29,Dudley,Horn,Anika,1992-06-22,Taiwanese,Catalan
90-98/68,Laronda,Williams,Dirk,2018-08-27,Danish,Somali
14-15/96,Miles,Blair,Eli,2015-02-17,Swiss,Malayalam
85-56/25,Ling,Roy,Long,1988-05-29,Dutch,Albanian
03-58/19,Myrl,Stein,Quincy,1992-01-21,Polish,Norwegian
02-25/74,Coleman,Chen,Dalila,2020-07-16,Swiss,Lao
77-82/47,Junior,Coffey,Roosevelt,2003-07-10,Taiwanese,Telugu
18-57/80,Blair,Wheeler,Matha,2023-03-01,Egyptian,Chinese
31-02/22,Lou,Dorsey,Mitchell,1994-08-30,Cambodian,Portuguese
90-41/17,Roselle,Sexton,Noah,1980-03-07,Latvian,Chinese
16-89/83,Florance,Cummings,Madie,1982-10-01,Uruguayan,Polish
68-89/65,Annika,Craig,Blaine,2010-06-02,English,Afrikaans
85-40/39,Sherley,Valencia,Santo,2006-08-25,Dutch,Thai
97-59/20,Reginald,Guerrero,Huey,2020-04-23,French,Khmer
38-62/12,Lupe,Wood,Kallie,1993-12-26,Costa Rican,Tajik
52-16/87,Garth,Battle,Albertina,1981-09-02,Iranian,Polish
26-32/12,Isaias,Pena,Billy,1992-03-05,Israeli,Albanian
44-29/93,Tyron,Curry,Shaquita,1982-03-11,British,Norwegian
62-71/44,Kelley,Castro,Andrew,2002-08-08,English,Finnish
46-38/62,Demarcus,Fitzpatrick,Yong,1988-09-15,Saudi,Marathi
85-89/68,Delmar,Anthony,Shae,1992-08-18,Chinese,Italian
71-08/85,Vincenzo,Fowler,Boris,2002-12-30,Japanese,Belarusian
64-83/86,Ivana,Webster,Lacresha,2013-12-13,Bolivian,Malagasy
71-80/27,Woodrow,Mercer,Wesley,2023-06-29,Ethiopian,Tswana
23-06/16,Aldo,Fischer,Rodrick,1990-10-24,Latvian,Papiamento
54-63/77,Anette,Warner,Rachal,1999-01-24,Dominican,Hiri Motu
18-76/91,Landon,Cote,Santo,2011-02-05,Puerto Rican,Luxembourgish
38-44/53,Allyn,Simmons,Kum,1996-12-04,Mexican,Norwegian
48-13/73,Jules,Macias,Donnell,1999-10-07,Swedish,Persian
78-76/16,Afton,Grant,Sharleen,2007-05-17,Chinese,Lao
25-33/03,Jeromy,Irwin,Concha,2004-02-22,French,Afrikaans
31-73/19,Yuriko,Bond,Estell,2001-10-19,Canadian,Tsonga
42-81/89,Kendal,Torres,Stormy,1985-02-04,Latvian,Georgian
87-74/54,Travis,Adkins,Jerrica,2000-05-31,Japanese,Indonesian
76-92/83,Mike,Williams,Faustino,2000-08-06,Latvian,Tsonga
91-10/58,Deshawn,Bradley,Allan,2019-10-24,French,Georgian
55-75/41,Lyndon,Key,Rolland,1995-09-20,Egyptian,Tsonga
90-84/24,Broderick,Simon,Jc,1982-02-09,French,Finnish
41-73/51,Willow,William,Mendy,2017-09-14,Polish,Assamese
69-11/20,Carol,Burgess,Blair,2007-07-19,Japanese,Kazakh
78-87/40,Robbie,Church,Tommie,2006-11-26,Ecuadorian,Amharic
67-01/76,Trey,Callahan,Reuben,2003-05-30,Guatemalan,Hungarian
08-27/34,Zetta,Mejia,Stacee,1980-02-28,Ecuadorian,Korean
55-68/40,Shawnda,Vargas,Lala,1994-08-17,Jordanian,Haitian Creole
29-96/93,Jose,Stewart,Brady,2002-02-03,Cuban,Marathi
04-99/27,Nicolas,Garrett,Jude,2023-09-04,Swedish,Czech
13-75/83,Wilton,Greene,Lieselotte,2001-09-20,Ukrainian,Thai
13-26/79,Kent,Hobbs,Lashay,2000-11-21,Salvadorian,Aymara
79-65/81,Jodee,Slater,Emmett,2020-10-30,Guatemalan,German
23-94/47,Dominic,Hurley,Stephania,1989-11-03,English,Croatian
85-27/09,Marlana,Swanson,Andy,2022-11-22,Uruguayan,Punjabi
35-45/16,Natosha,Mccullough,Thanh,1981-07-04,Ecuadorian,Tsonga
29-78/90,Han,Kelly,Mike,1994-04-06,Swedish,Swedish
41-94/80,Dave,Velez,Tequila,1980-06-04,Belgian,Lithuanian
64-15/41,Lynwood,Parrish,Iraida,2005-12-29,Spanish,Danish
62-57/45,Sumiko,Harrington,Benton,2006-05-08,Salvadorian,Dutch
14-26/74,Eric,Hill,Kathey,2022-03-13,Canadian,Sotho
90-36/91,Lonny,Dunn,Audrea,2000-02-03,Iranian,Romanian
56-14/54,Carolin,Phillips,Rufus,1988-01-30,Uruguayan,Dutch
41-22/93,Carletta,Wooten,Brady,1996-09-14,Finnish,Kurdish
61-08/60,Dorian,Gaines,Owen,2017-07-31,English,Finnish
86-60/90,Weldon,Owen,Jc,1994-08-13,Danish,Bulgarian
15-77/58,Thanh,Bowers,Harris,2007-08-09,Iranian,Albanian
71-06/95,Roderick,Glenn,Eliseo,2002-12-03,Chilean,Bislama
49-53/96,Chin,Mcguire,Hermila,2022-09-16,Estonian,Armenian
12-20/53,Holley,Cherry,Simon,2014-01-11,Greek,English
70-82/96,Ngoc,Vang,Delmar,2018-03-09,Cambodian,Kurdish
63-53/32,Sixta,Hudson,Kennith,2014-03-15,Chinese,Burmese
94-85/35,Kym,Hensley,Orlando,2017-10-01,Egyptian,Bosnian
37-55/21,Meg,Turner,Carola,1998-06-26,Estonian,Luxembourgish
63-29/20,Gregorio,Burks,Jamee,2001-05-29,Israeli,Telugu
42-49/00,Desmond,Rowland,Ellsworth,1984-09-13,Canadian,Zulu
44-22/58,Brooks,Gutierrez,Azucena,2017-08-12,Greek,Afrikaans
40-65/91,Malcolm,Sawyer,Shonna,2003-11-29,Australian,Mongolian
09-08/37,Yolande,Sears,Jules,1993-03-13,Chilean,Somali
31-54/24,Mallie,Martinez,Toshiko,2002-03-04,Ukrainian,Dari
97-87/09,Dorie,David,Senaida,2018-03-26,Argentinian,Moldovan
61-83/19,Gwenn,Hunter,Stephnie,2017-02-27,English,Lao
28-06/61,Williams,Moody,Jackeline,1998-02-04,Cameroonian,Northern Sotho
91-32/91,Jerrold,Herring,Amos,1999-07-26,Estonian,Hindi
85-27/07,Evelyne,Wilkerson,Israel,2009-04-06,Swedish,Norwegian
75-35/08,Jon,Rivera,Joaquin,1993-07-31,Ecuadorian,Afrikaans
75-08/33,Yung,Alford,Sharri,1986-03-11,Egyptian,Papiamento
30-57/06,Macy,Dorsey,Lance,1986-09-21,German,Kurdish
81-26/16,Tamekia,Lang,Chung,2019-05-12,Salvadorian,Malay
79-01/68,Cornell,Acosta,Ulrike,2010-06-01,Dominican,Fijian
04-12/60,Justin,Nichols,Vern,1992-06-02,Chinese,Assamese
86-67/60,Keith,Caldwell,Jules,1987-12-13,Danish,Estonian
89-56/49,Jerald,Burch,Lauryn,2016-08-11,Chilean,Dari
03-79/10,Maryalice,Potter,Gabriele,2014-03-05,Chinese,Oriya
67-57/99,Rene,Franks,Latarsha,2017-06-30,Danish,Marathi
31-25/57,Angel,Conway,Fidel,1980-06-03,Canadian,Chinese
15-76/94,Shantay,Pugh,Else,1997-03-29,Saudi,Marathi
01-53/79,Deedra,Preston,Rosario,2017-08-18,Colombian,Romanian
07-43/77,Adolfo,Fuller,Rachal,2009-11-30,Swiss,Norwegian
64-95/44,Tommie,Mcleod,Becki,1985-04-20,British,Dari
50-26/69,Abel,Todd,Zulma,1993-11-24,Portuguese,Indonesian
56-04/12,Michel,Golden,Luba,2021-09-11,Dominican,Māori
17-33/08,Curtis,Mendez,Arlie,1992-11-18,Uruguayan,Dzongkha
02-86/89,Elayne,Ballard,Marcene,1995-07-09,Dominican,Hebrew
09-61/24,Keith,Leach,Ardella,1982-10-03,Iranian,Maltese
19-61/20,Emelda,Little,Stefania,1996-12-09,British,Greek
04-34/63,Arnita,Robbins,Dee,2023-03-02,Chinese,Tsonga
84-55/52,Evan,Guthrie,Thomasine,2021-04-07,English,Yiddish
46-79/24,Emmett,Duran,Jaleesa,1983-05-23,Russian,Dari
16-70/44,Raelene,Pearson,Arnita,2012-11-11,Guatemalan,Hindi
77-19/63,Thu,Delaney,Stuart,2012-03-25,Saudi,Dhivehi
50-15/53,Roman,Bell,Humberto,1980-12-15,Venezuelan,Azeri
61-22/66,Jeramy,Griffin,Chauncey,2006-11-23,Saudi,Kannada
03-33/03,Ngoc,Coleman,Darwin,1991-11-25,Danish,English
37-15/97,Colby,Spears,Sharita,2011-03-18,Portuguese,Luxembourgish
72-13/81,Norah,Woodward,Hien,1984-12-19,Guatemalan,Spanish
10-29/02,Risa,Wilcox,Apryl,1982-06-02,Puerto Rican,Dhivehi
54-31/80,Jared,Stafford,Refugia,2021-10-20,Finnish,Portuguese
15-55/20,Erin,Stevens,Jorge,2021-01-31,Ukrainian,Gujarati
91-53/47,Donnell,Summers,Toney,2000-09-12,Ukrainian,Burmese
75-41/13,Horace,Weber,Dong,2019-12-28,Cameroonian,Tamil
05-51/01,Sol,Conway,Hien,2012-11-18,Saudi,Spanish
88-81/93,Lannie,Stephenson,Lang,2007-08-04,Canadian,Kannada
57-53/46,Kera,Cunningham,Regan,2006-04-01,Belgian,Estonian
34-85/23,Dudley,Rocha,Lucien,1995-03-09,Portuguese,German
81-18/11,Natalya,Ortega,Gwyn,1990-05-09,Cuban,Dhivehi
91-38/83,Jeremy,Daniels,Aubrey,1999-06-11,Salvadorian,Latvian
32-07/50,Mikki,Silva,Tiesha,2016-02-14,Puerto Rican,Albanian
35-89/63,Catherin,Romero,Cherilyn,1983-09-15,Latvian,Catalan
